100; 1; 3
0;21;0;0;33
1;3;0;0;46
1;36;0;0;9
2;7;0;0;21
2;16;0;0;21
4;7;0;0;28
5;11;0;0;39
6;83;0;0;2
8;40;0;0;1
9;3;0;0;14
10;11;0;0;11
13;12;0;0;5
14;12;0;0;12
14;19;0;0;23
14;21;0;0;12
15;16;0;0;2
17;18;0;0;11
20;11;0;0;14
20;23;0;0;14
25;24;0;0;23
25;28;0;0;32
25;79;0;0;1
25;84;0;0;1
26;27;0;0;11
29;28;0;0;33
30;24;0;0;27
31;16;0;0;24
32;16;0;0;31
32;51;0;0;1
32;75;0;0;1
33;27;0;0;55
34;36;0;0;1
35;27;0;0;1
38;18;0;0;1
38;64;0;0;1
39;21;0;0;38
42;53;0;0;1
42;84;0;0;1
43;60;0;0;21
44;55;0;0;36
46;40;0;0;19
48;47;0;0;44
48;56;0;0;1
49;52;0;0;16
54;53;0;0;48
58;57;0;0;4
59;57;0;0;37
61;50;0;0;50
61;72;0;0;2
62;51;0;0;31
63;64;0;0;54
65;18;0;0;24
65;99;0;0;1
66;56;0;0;58
67;56;0;0;12
67;71;0;0;12
69;71;0;0;25
70;68;0;0;58
70;73;0;0;30
74;72;0;0;14
76;73;0;0;15
77;80;0;0;27
77;81;0;0;29
78;81;0;0;47
82;81;0;0;5
86;84;0;0;17
87;85;0;0;53
88;91;0;0;15
90;85;0;0;40
92;91;0;0;2
93;96;0;0;18
94;91;0;0;36
95;91;0;0;4
97;99;0;0;50
0;11;1;0;17
13;27;1;0;11
13;84;1;0;11
14;12;1;0;23
17;96;1;0;1
26;23;1;0;32
29;19;1;0;10
31;28;1;0;16
32;89;1;0;1
33;41;1;0;7
34;37;1;0;7
35;84;1;0;15
43;79;1;0;1
46;50;1;0;4
54;51;1;0;28
58;53;1;0;25
62;55;1;0;6
67;68;1;0;5
69;64;1;0;17
70;81;1;0;4
78;52;1;0;9
88;91;1;0;20
90;73;1;0;16
92;98;1;0;13
93;98;1;0;30
94;99;1;0;2
4;57;2;0;10
6;37;2;0;4
17;7;2;0;1
20;83;2;0;4
25;16;2;0;4
26;24;2;0;6
29;60;2;0;5
30;45;2;0;10
32;22;2;0;9
33;18;2;0;8
33;72;2;0;8
39;40;2;0;7
44;47;2;0;4
48;50;2;0;10
49;40;2;0;6
59;64;2;0;2
65;57;2;0;1
65;84;2;0;1
74;56;2;0;9
82;89;2;0;2
86;55;2;0;1
88;96;2;0;2
95;79;2;0;11
